Component;Description;Sug.Extra;Aft.Orders;Available;Committed;OnHand;OnOrder;Vendor
1019178  ;HOOP 12-5MM RAISED CENTER;      0 ;      5-;     28-;    426 ;    398 ;     23 ;1RLDR  ;
1019268  ;HOOP-SM.OVAL SHAPE SQ.SLASH D/C;      0 ;     11-;    229-;    446 ;    217 ;    218 ;1RLDR  ;
1019825M ;STUD-LOVE KNOT w/CZ;      0 ;     23-;    593-;   1340 ;    747 ;    570 ;1RLDR  ;
1019825W ;STUD-6.6MM LOVEKNOT CZ;      0 ;      4-;    180-;    502 ;    322 ;    176 ;1RLDR  ;
1021576-J;HOOP-.984" FDC TWISTED;      0 ;     76-;     76-;    150 ;     74 ;      0 ;1RLDR  ;
1021806  ;HOOP 20MM TWIST;      0 ;     53-;    524-;   1238 ;    714 ;    471 ;1RLDR  ;
1410326  ;SM FDC 3 ROW HOOP;      0 ;     20-;     20-;    186 ;    166 ;      0 ;1RLDR  ;
1410416-Z;FULL D/C 6MM BALL EAR W/ DN POST;      0 ;    260-;   2927-;   2828 ;     99-;   2667 ;1RLDR  ;
1410750  ;EARRINGS TWISTED HOOP;      0 ;     10-;     41-;    268 ;    227 ;     31 ;1RLDR  ;
1412539  ;1412539 - .510'1ROW TWISTED HOOP;      0 ;     35 ;     15-;    218 ;    203 ;     50 ;1RLDR  ;
1414982  ;HOOP W/4MM GOLD BALL & 5MM PRL;      0 ;     59-;     59-;    122 ;     63 ;      0 ;1RLDR  ;
1416986  ;HOOP WG-1.5X15MM POL(.591");      0 ;     12 ;     95-;    174 ;     79 ;    107 ;1RLDR  ;
1419512  ;HOOP SQR 2X25MM "X" DIA CUT;      0 ;      1 ;     79-;    276 ;    197 ;     80 ;1RLDR  ;
1421605  ;14K LEVER W/6MM BALL DROP EAR;      0 ;      5 ;      4 ;     62 ;     66 ;      1 ;1RLDR  ;
1421608  ;8MM BALL DROP/LEVER;      0 ;     12 ;     38-;     76 ;     38 ;     50 ;1RLDR  ;
1430125P ;CHARM 12MM KNOT SLIDE;      0 ;      2-;      2-;      4 ;      2 ;      0 ;1RLDR  ;
1812659-Y;HOOP-POLISH 3.75 X 15MM 1/2 RND;      0 ;     31-;     32-;    206 ;    174 ;      1 ;1RLDR  ;
4B801917 ;HOOP-2T TWISTED POL/CORR;      0 ;      2-;     31-;     56 ;     25 ;     29 ;1RLDR  ;
4W805349 ;HOOP-2X18MM FULL DC;      0 ;     25-;     25-;    806 ;    781 ;      0 ;1RLDR  ;
4Y800515N;STUD-5.5M PL LOVE KNOT NO NUT;      0 ;     17 ;     17 ;      6 ;     23 ;      0 ;1RLDR  ;
4Y801882 ;DANGLE- STICK;      0 ;     31-;    115-;    148 ;     33 ;     84 ;1RLDR  ;
4Y803243 ;HOOP-SQR 1.5X15MM DC/ST;      0 ;    257 ;    503-;    988 ;    485 ;    760 ;1RLDR  ;
4Y805285 ;HP MINI 3ROW 9.6X4.1;      0 ;     20-;    170-;    228 ;     58 ;    150 ;1RLDR  ;
4Y805349 ;HOOP-2X18MM FULL DC;      0 ;     50-;   2710-;   3344 ;    634 ;   2660 ;1RLDR  ;
4Y806080 ;HOOP-28MM DC OV KNIFE EDGE;      0 ;     24 ;     10 ;     26 ;     36 ;     14 ;1RLDR  ;
4Y809262 ;HP-1.75X12.5X17 CORR OV;      0 ;    192-;    192-;    228 ;     36 ;      0 ;1RLDR  ;
4Y810795 ;HOOP-TAPER OVAL W/8MM BALL;      0 ;     34-;     34-;    138 ;    104 ;      0 ;1RLDR  ;
4Y810837 ;HP-POLISHED OVAL 2X1";      0 ;      6 ;      6 ;     66 ;     72 ;      0 ;1RLDR  ;
4Y815966 ;HOOP-POL U-SHAPE 16X11MM;      0 ;     21-;     21-;    302 ;    281 ;      0 ;1RLDR  ;
7514DC   ;FULL D/C 4MM GOLD BALL;      0 ;     11 ;     11 ;     46 ;     57 ;      0 ;1RLDR  ;
8Y817543 ;HOOP-3.75X25MM HALF ROUND TUBE;      0 ;      4-;      4-;     60 ;     56 ;      0 ;1RLDR  ;
CE305    ;CE305-14K YL  L&R;      0 ;     31 ;      1 ;     40 ;     41 ;     30 ;1RLDR  ;
CE305W   ;DANGLE TWISTED;      0 ;     56-;     56-;     80 ;     24 ;      0 ;1RLDR  ;
EK3686HVD;HOOP-5X12M DC REC CUFF;      0 ;      2-;      3-;     20 ;     17 ;      1 ;1RLDR  ;
HR151509 ;HR151509-14K YL  M&K 100%;      0 ;     10-;     10-;     70 ;     60 ;      0 ;1RLDR  ;
HR15209  ;HOOP-15X2MM;      0 ;    230-;    230-;    454 ;    224 ;      0 ;1RLDR  ;
HR25209  ;HP-2X25MM POLISHED;      0 ;     57-;     57-;    170 ;    113 ;      0 ;1RLDR  ;
HR25209W ;HOOP-WG 2X25MM;      0 ;     73-;     73-;     80 ;      7 ;      0 ;1RLDR  ;
HR35209  ;HOOP-35X2MM;      0 ;      2-;      2-;    140 ;    138 ;      0 ;1RLDR  ;
X1011491J;HOOP-5X18MM 1/2 ROUND;      0 ;    140-;   1007-;   1448 ;    441 ;    867 ;1RLDR  ;
X1021666 ;CZ FLOWER STUD;      0 ;     59-;    393-;    978 ;    585 ;    334 ;1RLDR  ;
X7099    ;HOOP-2.5MM X 25MM HOOP POL;      0 ;     14-;     14-;     52 ;     38 ;      0 ;1RLDR  ;
XHR25409 ;HP-4X25MM POLISHED;      0 ;     59-;     59-;    108 ;     49 ;      0 ;1RLDR  ;
XHR28209 ;HOOP-28X2MM;      0 ;     40-;     40-;     40 ;      0 ;      0 ;1RLDR  ;
XY805349 ;HOOP-2X18MM FULL DC;      0 ;     68-;    866-;   2176 ;   1310 ;    798 ;1RLDR  ;
XY805859 ;HOOP-1.75X14 MM CORRUG;      0 ;      4-;      4-;     50 ;     46 ;      0 ;1RLDR  ;
XY816812 ;HOOP-1.52X26X17MM U SHAPE;      0 ;     40-;     40-;     40 ;      0 ;      0 ;1RLDR  ;
XY90613P ;CHARM-POLISHED LOVEKNOT;      0 ;     10-;     30-;     31 ;      1 ;     20 ;1RLDR  ;
XT96425P ;CHRM-3TC MOM HEART W/FLWR;      0 ;      1-;      1-;     37 ;     36 ;      0 ;1RUBEN ;
4Y812055T;STUD-PEARL DC RIM SCREWPOST;      0 ;      0 ;      0 ;      4 ;      4 ;      0 ;1SABEL ;
4Y814787 ;STUD-CZ MINI CIRCLE THR PO;      0 ;      2-;      2-;     34 ;     32 ;      0 ;1SABEL ;
SS730220 ;SSRH WHT/JET HEM CRYS HUGG HP;      0 ;    118-;    118-;    300 ;    182 ;      0 ;1SHANL ;
SS744105X;DNGL-WHT CRY TEARDROP W/MONT CNTR SWARO;      0 ;      0 ;      0 ;    150 ;    150 ;      0 ;1SHANL ;
SS93332XP;CHARM CROSS SWAR CRY;      0 ;      8 ;      8 ;     75 ;     83 ;      0 ;1SHANL ;
SS94304  ;APRIL BOY CHARM;      0 ;      1-;      1-;     41 ;     40 ;      0 ;1SHANL ;
SS94305  ;MAY BOY CHARM;      0 ;      1-;      1-;     74 ;     73 ;      0 ;1SHANL ;
SS94308  ;AUGUST BOY CHARM;      0 ;     19-;     19-;     91 ;     72 ;      0 ;1SHANL ;
SS94309  ;SEPTEMBER BOY CHARM;      0 ;      6 ;      6 ;     58 ;     64 ;      0 ;1SHANL ;
SS94311  ;NOVEMBER BOY CHARM;      0 ;      6-;      6-;     67 ;     61 ;      0 ;1SHANL ;
SS94312  ;DECEMBER BOY CHARM;      0 ;     16-;     16-;     78 ;     62 ;      0 ;1SHANL ;
SS94403  ;MARCH GIRL CHARM;      0 ;     10-;     10-;     66 ;     56 ;      0 ;1SHANL ;
SS94406  ;JUNE GIRL CHARM;      0 ;     19-;     19-;     70 ;     51 ;      0 ;1SHANL ;
SS94410  ;OCTOBER GIRL CHARM;      0 ;     14-;     14-;     49 ;     35 ;      0 ;1SHANL ;
SSX0009E ;HOOP-CRYS IN-&-OUT EAR;     12 ;     14-;     14-;    112 ;     98 ;      0 ;1SHANL ;
SV730699 ;HOOP 35MM INSIDE OUT OVAL;      0 ;     76-;     76-;    150 ;     74 ;      0 ;1SHANL ;
SV731494 ;NCK SSGF15+2 CZ BAG 2X4;      0 ;     26-;     26-;     75 ;     49 ;      0 ;1SHANL ;
SV806927 ;HOOP-GOS OVAL CRY;      0 ;     88-;     88-;    150 ;     62 ;      0 ;1SHANL ;
14CLUTCH ;MUSHROOM SCREWBACK SILICONE;      0 ;   2303-;   2303-;   4838 ;   2535 ;      0 ;1SPERF ;
BB71244-8;WORN 2T FACETED SGNT RING SZ 8;      0 ;      1-;      1-;     11 ;     10 ;      0 ;1SUNST ;
BU743954 ;WORN GL PPRCLP DISC Y-NK 18+3";      0 ;      1-;      1-;      2 ;      1 ;      0 ;1SUNST ;
BW71241-8;WORN SV RIDGED OVL DOME RING SZ 8;      0 ;      3-;      3-;     17 ;     14 ;      0 ;1SUNST ;
BW71246-8;WORN SV ELONGATED TRDRP RING SZ 8;      0 ;      3-;      3-;     12 ;      9 ;      0 ;1SUNST ;
BW743938 ;1 PAIR WORN SV DISC DOORKNCKR POST ER;      0 ;      1-;      1-;      8 ;      7 ;      0 ;1SUNST ;
BW743947 ;1 PAIR WORN SV OPEN TRDRP DNGL ER;      0 ;     30-;     30-;     88 ;     58 ;      0 ;1SUNST ;
BW743972 ;WORN SV METAL FAN FRNTL NK 28+3";      0 ;      1-;      1-;     30 ;     29 ;      0 ;1SUNST ;
BW743986 ;WORN SV RECON TURQ/MTL BEAD NK 18+2";      0 ;      1-;      1-;     25 ;     24 ;      0 ;1SUNST ;
4Y807463 ;STUD-LVKNOT STMP BUTTON;      0 ;     77-;     77-;    150 ;     73 ;      0 ;1SYNER ;
W12LB191 ;14K WG DC L.BC DNGL EAR;      0 ;      0 ;      0 ;     50 ;     50 ;      0 ;1SYNER ;
X2543ZP  ;3MM CZ & 4MM PNK CZ SWRL EAR;      0 ;     30-;     30-;    150 ;    120 ;      0 ;1SYNER ;
XY814566H;DNGL-3MM BALL+CHAIN DRAPE FRONTBACKPR;      0 ;      5-;      5-;      7 ;      2 ;      0 ;1SYNER ;
GF404468P;GF LOCKET - TC 16MM HEART W/CROSS & FLWRS;      0 ;     46-;     46-;    173 ;    127 ;      0 ;1TOP   ;
SS715738P;CHRM-16MM HRT LCKT LUV U2 THE MOON;      0 ;      2-;      2-;     91 ;     89 ;      0 ;1TOP   ;
SS727328P;PNDT-PNK FLOWER HEART LOCKET 16MM;      0 ;      1-;      1-;    236 ;    235 ;      0 ;1TOP   ;
XY99531R ;CHN-4.4MM DBL ROW CURB 7.25" F.H.  COC GOLD;      0 ;    151-;    151-;    308 ;    157 ;      0 ;1TOPST ;
XY99532R ;CHN-4.4MM DBL ROW CURB 18" F.H. COC GOLD;      0 ;    150-;    150-;    308 ;    158 ;      0 ;1TOPST ;
XY96975P ;CHM-BUTTERFLY ORNATE;      0 ;      6-;     40-;     45 ;      5 ;     34 ;1TREES ;
XY99543R ;CHN-18" S.R.;      0 ;    150-;    150-;    306 ;    156 ;      0 ;1UNO   ;
XY99544R ;CHN-18" S.R.;      0 ;    150-;    150-;    306 ;    156 ;      0 ;1UNO   ;
SV745970 ;NECK-CENTER CIRCLE CHN 17+2";      0 ;      1-;      1-;      4 ;      3 ;      0 ;1VIOLA ;
SS743613 ;SSRH MENS CZ CROSS RNG SZ 10.5;      0 ;     15-;     15-;     15 ;      0 ;      0 ;2CARLI ;
SS746105 ;SSRH 6PR 4/5/6MM RD/SQ CZ STD SET;      0 ;     30-;     30-;     30 ;      0 ;      0 ;2CARLI ;
SS746106 ;SSRH 6PR 4/5/6MM BLL/CRYS FRBL STD SET;      0 ;    151-;    151-;    151 ;      0 ;      0 ;2CARLI ;
SS746112 ;SSRH 3PR 4/5/7MM SQR CZ STUD SET;      0 ;     25-;     25-;     25 ;      0 ;      0 ;2CARLI ;
SS746115 ;SSRH 1.25" CRYS CLKTP HP;      0 ;     84-;     84-;     84 ;      0 ;      0 ;2CARLI ;
SS809861 ;SSRH CLR CRYS OPEN KITE PNDT/DNGL ER SET;      0 ;     15-;     15-;     15 ;      0 ;      0 ;2CARLI ;
SV746773 ;SS20MILSGP 25.3X18.3.. WAVY OV P HINGE;      0 ;      6-;      6-;     66 ;     60 ;      0 ;2CARLI ;
SS732122 ;SSRH RD/PR DANGLE CZ STD;      0 ;     22-;     22-;     94 ;     72 ;      0 ;2NICE  ;
SS746674 ;SSRH 2PR CZ FLWR STD/POST HP ER SET;      0 ;      2-;      2-;     25 ;     23 ;      0 ;2NICE  ;
SS746699 ;SSRH MEN'S 3D POLISHED CROSS PDT 24";      0 ;     25-;     25-;     25 ;      0 ;      0 ;2NICE  ;
SV732122 ;SS GD FLSH RD/PR DANGLE STD;      0 ;     10-;     10-;     82 ;     72 ;      0 ;2NICE  ;
SV746918 ;SS20MILS GP FX PFF TPRD RD HP - PST;      0 ;      6-;      6-;     58 ;     52 ;      0 ;2NICE  ;
SS70100  ;RING MENS FULL PAVE CZ 10.5;      0 ;      8-;      8-;      8 ;      0 ;      0 ;2SHANL ;
SS7118922;SSRH MENS 22"CZ LINK CHN NK;      0 ;     10-;     10-;     10 ;      0 ;      0 ;2SHANL ;
SS308323 ;HOOP-OVAL POLISHED EAR EURO PLATE;      0 ;     62-;     62-;    166 ;    104 ;      0 ;3ALMON ;
SS308338 ;HOOP-D/C TUBE EARRING EURO PLATE;      0 ;     32-;     82-;    170 ;     88 ;     50 ;3ALMON ;
SS308347 ;HOOP-OVAL POL EAR EURO PLATE;      0 ;     26-;     26-;     62 ;     36 ;      0 ;3ALMON ;
SS308367 ;HOOP-MED POL EAR EURO PLATE;      0 ;    124-;    124-;    232 ;    108 ;      0 ;3ALMON ;
SS705192 ;DGL-BALLTOP FIGURE 8 D/C EURO PLATE;      0 ;     90-;     90-;    150 ;     60 ;      0 ;3ALMON ;
SS718768 ;HOOP-FANCY RHODIUM;      0 ;      8-;     68-;    262 ;    194 ;     60 ;3ALMON ;
SS718773 ;HOOP-OVAL MESH CLKTOP;      0 ;     98-;     98-;    138 ;     40 ;      0 ;3ALMON ;
SS718776 ;HOOP-MESH EURO PLATE;      0 ;      3-;      4-;     50 ;     46 ;      1 ;3ALMON ;
SS726045 ;HOOP-D/C EURO PLATE;      0 ;     16-;     16-;     32 ;     16 ;      0 ;3ALMON ;
SS732061 ;HOOP-TRIO ROW DMND CUT HP;      0 ;      2-;      2-;      4 ;      2 ;      0 ;3ALMON ;
4W808718 ;HOOP-WG 11MM POLISHED HUGGIE;      0 ;     10-;     90-;     90 ;      0 ;     80 ;3ARPAS ;
4Y807080 ;SINGLET-POL CUFF EARRING;      0 ;     25-;     25-;     30 ;      5 ;      0 ;3ARPAS ;
4Y808718 ;HOOP-11MM POLISHED HUGGIE;      0 ;     50-;     50-;     50 ;      0 ;      0 ;3ARPAS ;
4Y808771 ;DNGL-TWIST FLAME ON WIRE;      0 ;      2 ;      2 ;     54 ;     56 ;      0 ;3ARPAS ;
4Y813995 ;STUD-EVIL EYE MEDIUM BLUE ENAMAL;      0 ;     66-;     66-;    150 ;     84 ;      0 ;3ARPAS ;
4Y814449 ;DNGL-LEAF ON FH;      0 ;     10-;     10-;     28 ;     18 ;      0 ;3ARPAS ;
4Y815826 ;DNGL-POL HEART ON WIRE 5MM;      0 ;    150-;    150-;    222 ;     72 ;      0 ;3ARPAS ;
4Y94403P ;CHARM-SM POL PUFF CROSS;      0 ;      3-;      3-;     26 ;     23 ;      0 ;3ARPAS ;
4Y95999P ;CHARM-MARY & CHILD RECT MEDAL;      0 ;      5-;      5-;     19 ;     14 ;      0 ;3ARPAS ;
4Y96039P ;PEND-CLR PRNT MARY OVL MEDAL W/PRAYER ON BACK;      0 ;      1-;      1-;     15 ;     14 ;      0 ;3ARPAS ;
EK4052   ;DANGLE-2TONE TWISTED FISH HOOK;      0 ;      2-;      2-;      6 ;      4 ;      0 ;3ARPAS ;
SSE127   ;HOOP-DOUBLE PEAR SHAPE;      0 ;     10-;     10-;     22 ;     12 ;      0 ;3ARPAS ;
XY813886 ;DNGL-CRYSTAL CUT TRDP ON F.H.;      0 ;     50-;     50-;    100 ;     50 ;      0 ;3ARPAS ;
XY815178 ;HP-OVAL HUGGIE;      0 ;     18-;     18-;     24 ;      6 ;      0 ;3ARPAS ;
XY818103D;DNGL-5MM DIAM CUT BALL ON KIDNEY WIRE;      0 ;      4-;      4-;     40 ;     36 ;      0 ;3ARPAS ;
XY9382672;BRAC-HRT DISC CHARM-7.25";      0 ;     43-;     43-;     75 ;     32 ;      0 ;3ARPAS ;
XY9505810;ANKLET CZ 5STA 9+1=10";      0 ;      4-;      4-;     14 ;     10 ;      0 ;3ARPAS ;
XY9553018;NECK-BEAD STATIONS WITH CROSS 18";      0 ;     28-;     98-;     98 ;      0 ;     70 ;3ARPAS ;
XY9761175;14K BRC HRT 7.5";      0 ;     33-;     33-;     75 ;     42 ;      0 ;3ARPAS ;
SS725233 ;SSRH 28MM D/C CNTR POST ER;      0 ;     88-;     88-;    150 ;     62 ;      0 ;3BLUEO ;
4Y98363R ;NCK-2 HEART POL/ROPE 18" W/FH;      0 ;      8-;      8-;      8 ;      0 ;      0 ;3DELPI ;
XY817824R;HP-POL/MESH 2ROW TWIST  20MM;      0 ;    300-;    324-;    616 ;    292 ;     24 ;3DELPI ;
XY818266R;HP-2ROW POL/MESH;      0 ;    300-;    326-;    616 ;    290 ;     26 ;3DELPI ;
XY99524R ;BGL-POL/MESH 2ROW W/HINGE SZ 7.25";      0 ;    150-;    308-;    308 ;      0 ;    158 ;3DELPI ;
SS94473EX;SS 015 DC BOX CHAIN 13-15 EXT;      0 ;      1-;      1-;     74 ;     73 ;      0 ;3DIBI  ;
D21FH8010;ANKLET-3.4MM BEVELLED FIGARO 9+1" FH;      0 ;      5-;      5-;     57 ;     52 ;      0 ;3FILK  ;
D21FI1420;NECK 6MM FIGARO 20"  LC;      0 ;     10-;     10-;     21 ;     11 ;      0 ;3FILK  ;
D21FI1809;BRC-8.5MM FIGARO 9" LC;      0 ;      9-;      9-;     10 ;      1 ;      0 ;3FILK  ;
D21FI1824;NCK-8.5MM FIGARO 3+1 24' LC;      0 ;      1-;      1-;     10 ;      9 ;      0 ;3FILK  ;
D21HS1918;CHAIN-1.25 D/C SINGAPORE 18" 019 SR;      0 ;     27-;     27-;     73 ;     46 ;      0 ;3FILK  ;
D21MA1408;BRACE 5.5MM MARINE;      0 ;      9-;      9-;     10 ;      1 ;      0 ;3FILK  ;
D21MA1920;CHAIN 2.2MM HOLLOW MARINE 20";      0 ;      5-;      5-;      5 ;      0 ;      0 ;3FILK  ;
D21RH5010;ANKL-2.7MM HOL ROPE 9+1"ADJ S.R.;      0 ;     10-;     10-;     10 ;      0 ;      0 ;3FILK  ;
D2CU180-9;ULTRALT 8MM CURB 9'';      0 ;      4-;      4-;     24 ;     20 ;      0 ;3FILK  ;
D2FH07018;CHN-2.7MM HOL FIGARO 070 18" SR;      0 ;      3-;      3-;      3 ;      0 ;      0 ;3FILK  ;
D2FH07020;CHN-2.7MM HOL FIGARO 070 20" SR;      0 ;      3-;      3-;      3 ;      0 ;      0 ;3FILK  ;
D2FH07022;CHN-2.7MM HOL FIGARO 070 22" SR;      0 ;      3-;      3-;      3 ;      0 ;      0 ;3FILK  ;
D2MC12020;CHN 4.6MM HOL MIAMI CUBAN 120 20" FH;      0 ;      1-;      1-;     12 ;     11 ;      0 ;3FILK  ;
D31FH8022;CHAIN-3.4MM FIGARO 080 22" F.H.;      0 ;    189-;    226-;    375 ;    149 ;     37 ;3FILK  ;
D31FH8075;BRC-3.4MM 080  FIGARO 7.5";      0 ;     12-;     12-;     35 ;     23 ;      0 ;3FILK  ;
D31Y03018;CHN-.73MM BOX 054 18" S.R.;      1 ;     13-;     13-;     14 ;      1 ;      0 ;3FILK  ;
XB9501920;CHN-2T CURB PAVE FLAT 3.3MM 20" FH;      0 ;      2-;      2-;      2 ;      0 ;      0 ;3FILK  ;
XY9407510;ANKLET-3.45MM BEVELLED CURB 9+1" FH;      0 ;      8-;      8-;     16 ;      8 ;      0 ;3FILK  ;
XY9734224;CHN-4.30MM BEVELED CURB 24" LB CLASP;      0 ;      2-;      2-;      2 ;      0 ;      0 ;3FILK  ;
D31WH3018;CHN-1.25MM HOL SQ WHEAT 030 LL ENDCAPS 18" FH;      0 ;     24-;     24-;    205 ;    181 ;      0 ;3MIDAS ;
D31WH3020;CHN-1.25MM HOL SQ WHEAT 030 LL ENDCAPS 20" FH;      0 ;     20-;     21-;    135 ;    114 ;      1 ;3MIDAS ;
XY9361510;ANK-BEAD CHN W/BEAD STA 9+1" ADJ FH;      0 ;      6-;      6-;      6 ;      0 ;      0 ;3MIDAS ;
XY9424518;NECK-ADJ MINI CRESCENT MOON;      0 ;     45-;     45-;     75 ;     30 ;      0 ;3MIDAS ;
XY9424918;NECK-1PT DIA @ SIGN;      0 ;     46-;     46-;     75 ;     29 ;      0 ;3MIDAS ;
XY9707518;NCK 3.2MM HOL PPCLP 18" LOB;      0 ;      1-;      2-;     25 ;     23 ;      1 ;3MIDAS ;
XY9879175;CHN-3.25MM FOLDOVER OPEN HEART SR 7.5";      0 ;      5-;      5-;      5 ;      0 ;      0 ;3MIDAS ;
SS743796 ;SSRH LT ROSE CRYS 4MM STD TLR STRFSH/SEASHLL STUD TRIO ST;      0 ;     17-;     17-;     67 ;     50 ;      0 ;3STRON ;
SV23390Z ;SSGP CZ HALO STUD EAR W/ CLUTCH;      0 ;     16-;     16-;    100 ;     84 ;      0 ;3STRON ;
SV740338 ;NECK-GP CZ STRBRST LINK CHN NK 18";      0 ;      1-;      1-;     52 ;     51 ;      0 ;3STRON ;
GF97873P ;LCKT-12MM HRT W/ENGV FLWR;      0 ;      2-;      2-;     37 ;     35 ;      0 ;3TOP   ;
4Y813128C;HOOP-2ROW OVAL;      0 ;      9 ;      9 ;    126 ;    135 ;      0 ;4AMERC ;
1019673  ;CZ STUD-RD 5.0;      0 ;     36-;    346-;    596 ;    250 ;    310 ;4INAH  ;
1019673W ;CZ STUD-RD 5.0 WG;      0 ;     68-;     68-;    350 ;    282 ;      0 ;4INAH  ;
1419672WJ;STUD WHITE 4MM ROUND CZ DOUBLE NOTCH;      0 ;     12-;    412-;   1130 ;    718 ;    400 ;4INAH  ;
1422206P ;CHARM-SM OPEN HEART;      0 ;      1-;      1-;     11 ;     10 ;      0 ;4INAH  ;
1426677  ;STUD-CZ CAT EARRING;      0 ;     72-;     72-;    150 ;     78 ;      0 ;4INAH  ;
1431087P ;CHARM CZ CROSS;      0 ;      4-;      4-;     24 ;     20 ;      0 ;4INAH  ;
4051-3   ;RING-DIAMOND FILIGREE SZ3;      0 ;      2-;      2-;      2 ;      0 ;      0 ;4INAH  ;
4B815644 ;STUD-YE/PK STRAWBERRY;      0 ;     12-;     12-;     20 ;      8 ;      0 ;4INAH  ;
4B97437P ;PND-2TN PICKLEBALL W/GOLD BALL;      0 ;      4-;      4-;     10 ;      6 ;      0 ;4INAH  ;
4W803694 ;STUD-3MM SQUARE;      0 ;     20-;     20-;     20 ;      0 ;      0 ;4INAH  ;
4W810852T;STD-WG CZ 3MM SQR THREADED POST;      0 ;      2-;    802-;   1824 ;   1022 ;    800 ;4INAH  ;
4W812428 ;HP-WG FACETED HUGGIE;      0 ;     12 ;     12 ;     26 ;     38 ;      0 ;4INAH  ;
4Y705375P;CHARM-FW PEARL CROSS;      0 ;     12-;     12-;     39 ;     27 ;      0 ;4INAH  ;
4Y802103 ;STUD-WHT CZ 6X6 CU;      0 ;     42-;     92-;     92 ;      0 ;     50 ;4INAH  ;
4Y802105 ;STUD-WHT CZ 6X6 ASSCHER;      0 ;     24-;     24-;     46 ;     22 ;      0 ;4INAH  ;
4Y802115 ;STUD-WHT AAA CZ RD 5.0;      0 ;      6-;      6-;     48 ;     42 ;      0 ;4INAH  ;
4Y802116 ;STUD-WHT AAA CZ SQ 5X5;      0 ;      6-;      6-;     48 ;     42 ;      0 ;4INAH  ;
4Y803379 ;STUD-CZ BUTTERFLY;      0 ;     10-;     10-;     10 ;      0 ;      0 ;4INAH  ;
4Y803388P;CHARM-CZ STAR OF DAVID;      0 ;     20-;     20-;     20 ;      0 ;      0 ;4INAH  ;
4Y803694 ;STUD-3MM SQUARE;      0 ;     20-;     40-;     40 ;      0 ;     20 ;4INAH  ;
4Y807861P;CHM-BABY RNG/2.25M AQ SPINEL;      0 ;      2-;      2-;     16 ;     14 ;      0 ;4INAH  ;
4Y807862P;CHM-BABY RNG/2.25M CZ-WH;      0 ;     10-;     10-;     10 ;      0 ;      0 ;4INAH  ;
4Y807863P;CHM-BABY RNG/2.25M CZ-EM;      0 ;      8-;      8-;     10 ;      2 ;      0 ;4INAH  ;
4Y807867P;CHM-BABY RNG/2.25M CZ-SAPH;      0 ;      5-;      5-;      5 ;      0 ;      0 ;4INAH  ;
4Y807868P;CHM-BABY RNG/2.25M CZ-PK;      0 ;     20-;     20-;     20 ;      0 ;      0 ;4INAH  ;
4Y807869P;CHM-BABY RNG/2.25M CZ-YE;      0 ;      5-;      5-;      5 ;      0 ;      0 ;4INAH  ;
4Y807870P;CHM-BABY RNG/2.25M TOPAZ;      0 ;      8-;      8-;      8 ;      0 ;      0 ;4INAH  ;
4Y809764P;CHRM-HAMSA W/BLU+WH CZ;      0 ;      9-;      9-;      9 ;      0 ;      0 ;4INAH  ;
4Y810609 ;STUD-4MM CZ HEART THRD POST;      0 ;      1-;      1-;     92 ;     91 ;      0 ;4INAH  ;
4Y810834 ;HOOP-11MM POL HUGGIE;      0 ;     64-;     64-;    162 ;     98 ;      0 ;4INAH  ;
4Y810982P;CHARM-PAW PRINT DISC;      0 ;      2 ;      2 ;     21 ;     23 ;      0 ;4INAH  ;
4Y812428 ;HP-2.6X10MM FACETED HUGGIE;      0 ;     74-;     74-;    162 ;     88 ;      0 ;4INAH  ;
4Y812658 ;STUD-PEARL KITTY;      0 ;     30-;     30-;     30 ;      0 ;      0 ;4INAH  ;
4Y812684 ;STUD-CZ COMPASS;      0 ;      4-;      4-;     20 ;     16 ;      0 ;4INAH  ;
4Y813278 ;STUD-3STARS 8.7X4MM;      0 ;     24-;     24-;     74 ;     50 ;      0 ;4INAH  ;
4Y813280 ;STUD-BUTTERFLY;      0 ;     12-;     12-;     40 ;     28 ;      0 ;4INAH  ;
4Y813280K;STUD-BUTTERLY THRD POST;      0 ;      4-;      4-;    162 ;    158 ;      0 ;4INAH  ;
4Y813333 ;STUD-POL BAR;      0 ;      6-;      6-;     16 ;     10 ;      0 ;4INAH  ;
4Y813370 ;HOOP-DANGLE CROSS;      0 ;     15-;     15-;     32 ;     17 ;      0 ;4INAH  ;
4Y813489 ;DNGL-BEAD CHAIN DRAPE EAR;      0 ;      2 ;      2 ;     50 ;     52 ;      0 ;4INAH  ;
4Y813735 ;STUD-FW PEARL CRAB;      0 ;     10-;     10-;     20 ;     10 ;      0 ;4INAH  ;
4Y813772 ;STUD-PAW BLACK ENAMEL;      0 ;     24-;     24-;     24 ;      0 ;      0 ;4INAH  ;
4Y813821 ;HOOP-OVAL HUGGIE 2X16X10MM;      0 ;     90-;     90-;    106 ;     16 ;      0 ;4INAH  ;
4Y814294 ;STUD-BLUE EVIL EYE;      0 ;     40-;     40-;     40 ;      0 ;      0 ;4INAH  ;
4Y814527 ;STUD-BEE THRD PO;      0 ;      4 ;      4 ;     46 ;     50 ;      0 ;4INAH  ;
4Y815749 ;STUD-PICKLEBALL PADDLE W/PEARL;      0 ;      6-;      6-;     10 ;      4 ;      0 ;4INAH  ;
4Y91306P ;CHARM-CZ CROSS;      0 ;      5-;      5-;      5 ;      0 ;      0 ;4INAH  ;
